"message,"date-time","tick"
"Start","2021-01-25 09:07:41.941570","1611562061.94157"
"Log inizialized","2021-01-25 09:07:41.941570","1611562061.94157"
"Readed configuration file","2021-01-25 09:07:41.941570","1611562061.94157"
"Readed input file","2021-01-25 09:07:41.941570","1611562061.94157"
"Getted all position where delete","2021-01-25 09:07:41.941570","1611562061.94157"
"Secret header elaborated","2021-01-25 09:07:41.941570","1611562061.94157"
"Secret body elaborated","2021-01-25 09:07:41.941570","1611562061.94157"
"Secret elaborated","2021-01-25 09:07:41.941570","1611562061.94157"
"Converted array into csv","2021-01-25 09:07:41.941570","1611562061.94157"
"Converted array into csv","2021-01-25 09:07:41.941570","1611562061.94157"
"Converted array into csv","2021-01-25 09:07:41.941570","1611562061.94157"
"Converted array into csv","2021-01-25 09:07:41.941570","1611562061.94157"
"Writed outputs","2021-01-25 09:07:41.941570","1611562061.94157"
"End","2021-01-25 09:07:41.941570","1611562061.94157"
"Start","2021-01-25 09:07:51.350228","1611562071.350228"
"Log inizialized","2021-01-25 09:07:51.350228","1611562071.350228"
"Readed configuration file","2021-01-25 09:07:51.350228","1611562071.350228"
"Readed input file","2021-01-25 09:07:51.350228","1611562071.350228"
"Getted all position where delete","2021-01-25 09:07:51.350228","1611562071.350228"
"Secret header elaborated","2021-01-25 09:07:51.350228","1611562071.350228"
"Secret body elaborated","2021-01-25 09:07:51.350228","1611562071.350228"
"Secret elaborated","2021-01-25 09:07:51.350228","1611562071.350228"
"Converted array into csv","2021-01-25 09:07:51.350228","1611562071.350228"
"Converted array into csv","2021-01-25 09:07:51.350228","1611562071.350228"
"Converted array into csv","2021-01-25 09:07:51.350228","1611562071.350228"
"Converted array into csv","2021-01-25 09:07:51.350228","1611562071.350228"
"Writed outputs","2021-01-25 09:07:51.350228","1611562071.350228"
"End","2021-01-25 09:07:51.350228","1611562071.350228"
"Start","2021-01-25 09:15:13.815714","1611562513.815714"
"Log inizialized","2021-01-25 09:15:13.815714","1611562513.815714"
"Readed configuration file","2021-01-25 09:15:13.815714","1611562513.815714"
"Start","2021-01-25 09:15:45.406867","1611562545.406867"
"Log inizialized","2021-01-25 09:15:45.406867","1611562545.406867"
"Readed configuration file","2021-01-25 09:15:45.406867","1611562545.406867"
"Converted csv into array","2021-01-25 09:15:45.406867","1611562545.406867"
"Readed input file","2021-01-25 09:15:45.406867","1611562545.406867"
"Getted all position where delete","2021-01-25 09:15:45.406867","1611562545.406867"
"Secret header elaborated","2021-01-25 09:15:45.406867","1611562545.406867"
"Start","2021-01-25 09:16:02.653734","1611562562.653734"
"Log inizialized","2021-01-25 09:16:02.653734","1611562562.653734"
"Readed configuration file","2021-01-25 09:16:02.653734","1611562562.653734"
"Converted csv into array","2021-01-25 09:16:02.653734","1611562562.653734"
"Readed input file","2021-01-25 09:16:02.653734","1611562562.653734"
"Getted all position where delete","2021-01-25 09:16:02.653734","1611562562.653734"
"Secret header elaborated","2021-01-25 09:16:02.653734","1611562562.653734"
"Secret body elaborated","2021-01-25 09:16:02.653734","1611562562.653734"
"Secret elaborated","2021-01-25 09:16:02.653734","1611562562.653734"
"Converted array into csv","2021-01-25 09:16:02.653734","1611562562.653734"
"Converted array into csv","2021-01-25 09:16:02.653734","1611562562.653734"
"Converted array into csv","2021-01-25 09:16:02.653734","1611562562.653734"
"Converted array into csv","2021-01-25 09:16:02.653734","1611562562.653734"
"Writed outputs","2021-01-25 09:16:02.653734","1611562562.653734"
"End","2021-01-25 09:16:02.653734","1611562562.653734"
"Start","2021-01-25 09:17:18.113561","1611562638.113561"
"Log inizialized","2021-01-25 09:17:18.113561","1611562638.113561"
"Readed configuration file","2021-01-25 09:17:18.113561","1611562638.113561"
"Converted csv into array","2021-01-25 09:17:18.113561","1611562638.113561"
"Readed input file","2021-01-25 09:17:18.113561","1611562638.113561"
"Getted all position where delete","2021-01-25 09:17:18.113561","1611562638.113561"
"Secret header elaborated","2021-01-25 09:17:18.113561","1611562638.113561"
"Secret body elaborated","2021-01-25 09:17:18.113561","1611562638.113561"
"Secret elaborated","2021-01-25 09:17:18.113561","1611562638.113561"
"Converted array into csv","2021-01-25 09:17:18.113561","1611562638.113561"
"Converted array into csv","2021-01-25 09:17:18.113561","1611562638.113561"
"Converted array into csv","2021-01-25 09:17:18.113561","1611562638.113561"
"Converted array into csv","2021-01-25 09:17:18.113561","1611562638.113561"
"Writed outputs","2021-01-25 09:17:18.113561","1611562638.113561"
"End","2021-01-25 09:17:18.113561","1611562638.113561"
"Start","2021-01-25 09:45:26.656767","1611564326.657764"
"Log inizialized","2021-01-25 09:45:26.656767","1611564326.657764"
"Readed configuration file","2021-01-25 09:45:26.656767","1611564326.657764"
"Converted csv into array","2021-01-25 09:45:26.656767","1611564326.657764"
"Readed input file","2021-01-25 09:45:26.656767","1611564326.657764"
"Getted all position where delete","2021-01-25 09:45:26.656767","1611564326.657764"
"Secret header elaborated","2021-01-25 09:45:26.656767","1611564326.657764"
"Secret body elaborated","2021-01-25 09:45:26.656767","1611564326.657764"
"Secret elaborated","2021-01-25 09:45:26.656767","1611564326.657764"
"Converted array into csv","2021-01-25 09:45:26.656767","1611564326.657764"
"Converted array into csv","2021-01-25 09:45:26.656767","1611564326.657764"
"Converted array into csv","2021-01-25 09:45:26.656767","1611564326.657764"
"Converted array into csv","2021-01-25 09:45:26.656767","1611564326.657764"
"Writed outputs","2021-01-25 09:45:26.656767","1611564326.657764"
"End","2021-01-25 09:45:26.656767","1611564326.657764"
"Start","2021-01-25 09:48:16.588567","1611564496.588567"
"Log inizialized","2021-01-25 09:48:16.588567","1611564496.588567"
"Readed configuration file","2021-01-25 09:48:16.588567","1611564496.588567"
"Start","2021-01-25 09:49:33.181458","1611564573.181458"
"Log inizialized","2021-01-25 09:49:33.181458","1611564573.181458"
"Readed configuration file","2021-01-25 09:49:33.181458","1611564573.181458"
"Start","2021-01-25 09:49:59.837853","1611564599.837853"
"Log inizialized","2021-01-25 09:49:59.837853","1611564599.837853"
"Readed configuration file","2021-01-25 09:49:59.837853","1611564599.837853"
"Converted csv into array","2021-01-25 09:49:59.837853","1611564599.837853"
"Readed input file","2021-01-25 09:49:59.837853","1611564599.837853"
"Getted all position where delete","2021-01-25 09:49:59.837853","1611564599.837853"
"Secret header elaborated","2021-01-25 09:49:59.837853","1611564599.837853"
"Start","2021-01-25 09:50:20.255498","1611564620.256566"
"Log inizialized","2021-01-25 09:50:20.255498","1611564620.256566"
"Readed configuration file","2021-01-25 09:50:20.255498","1611564620.256566"
"Converted csv into array","2021-01-25 09:50:20.255498","1611564620.256566"
